ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
60,final fantasy anthology official strategy guide (brady games),David Cassady,Brady Games,1999-11-4,Kindle,288.0,4.5
61,benny ricciardi's definitive guide to fantasy baseball,Benjamin Ricciardi,Benny Ricciardi,2017-3-1,Paperback,251.0,4.3
62,fairy fantasy: enchanting fairy adult coloring book,Jason Hamilton,JasonHamilton.ink,2017-5-21,Kindle,82.0,4.7
63,winter wolf (a new dawn novel),Rachel M. Raithby,Skyscape,2015-10-27,Paperback,348.0,4.2
64,the lost art of how to draw fantasy females,Frank Granados,CreateSpace Independent Publishing Platform,2012-9-9,Hardcover,82.0,3.2
65,"fairies & fantasy: learn to paint the enchanted world of fairies, angels, and mermaids (watercolor made easy)",Meredith Dillman,Walter Foster Publishing,2009-4-15,Kindle,64.0,4.5
66,500 science fiction and fantasy writing prompts,Julie Wenzel,CreateSpace Independent Publishing Platform,2016-10-24,Kindle,122.0,5.0
67,kanye west's my beautiful dark twisted fantasy (33 1/3),Kirk Walker Graves,Bloomsbury Academic,2014-6-19,Hardcover,152.0,3.4
68,witch's reign (desert cursed series book 1) (the desert cursed series) (volume 1),Shannon Mayer,CreateSpace Independent Publishing Platform,2018-2-6,Kindle,368.0,4.8
70,"fantasy coloring adventure: a magical world of fantasy creatures, enchanted animals, and whimsical scenes",Jade Summer,CreateSpace Independent Publishing Platform,2017-8-12,Kindle,86.0,4.6
71,the change (unbounded) (volume 1),Teyla Branton,White Star Press,2013-1-10,Kindle,356.0,4.5
72,enchanted - magical forests coloring collection (fantasy art coloring by selina) (volume 3),Selina Fenech,Fairies and Fantasy Pty Ltd,2015-9-16,Hardcover,108.0,4.6
73,the new voices of fantasy,JY Yang,Tachyon Publications,2017-8-22,Paperback,336.0,4.5
74,the destroyer (volume 1),Michael-Scott Earle,CreateSpace Independent Publishing Platform,2016-2-20,Hardcover,580.0,4.3
75,owls and other fantasies: poems and essays,Mary Oliver,Beacon Press,2006-4-1,Hardcover,88.0,4.9
76,fantasy map making: a step-by-step guide for worldbuilders (writer resources) (volume 2),Jesper Schmidt,CreateSpace Independent Publishing Platform,2018-1-15,Hardcover,164.0,3.7
77,fantasy islands: chinese dreams and ecological fears in an age of climate crisis,Julie Sze,University of California Press,2015-1-5,Kindle,248.0,4.0
78,marking time: the immortal descendants: book 1,April White,Corazon Entertainment,2012-11-5,Paperback,436.0,4.7
79,the year's best fantasy and horror: twelfth annual collection (no. 12),Terri Windling,St. Martin's Griffin,1999-7-30,Hardcover,624.0,4.3
80,the queen's poisoner (the kingfountain series),Jeff Wheeler,47North,2016-4-1,Hardcover,334.0,4.5
81,the hundredth queen (the hundredth queen series),Emily R. King,Skyscape,2017-6-1,Paperback,300.0,4.3
82,dotty and the calendar house key: (a magical fantasy adventure for 8-12 year olds) (the dotty series) (volume 1),Emma Warner-Reed,Calendar House Press,2016-11-17,Paperback,234.0,4.8
83,the fantasy illustrator's technique book (quarto book),Gary A. Lippincott,Barron's Educational Series,2007-2-1,Kindle,128.0,4.4
84,writing fantasy: the top 100 best strategies for writing fantasy stories,Blaine Hart,Lord Hart Productions,2017-3-23,Paperback,80.0,4.6
85,fantasy of fire (the tainted accords) (volume 3),Kelly St. Clare,Kelly St. Clare,2016-1-14,Hardcover,294.0,4.9
87,enchantress (the evermen saga),James Maxwell,47North,2014-7-29,Paperback,624.0,4.3
88,russian fairy tales (the pantheon fairy tale and folklore library),Aleksandr Afanasev,Pantheon Books,1973-0-0,Hardcover,672.0,4.2
89,the flame and the arrow (the annika brisby series) (volume 1),Emigh Cannaday,CreateSpace Independent Publishing Platform,2010-11-22,Kindle,438.0,4.4
90,the paladin prophecy: book 1,Mark Frost,Ember,2014-1-7,Hardcover,528.0,4.5
91,undercover magic (dragon's gift: the valkyrie) (volume 1),Linsey Hall,Bonnie Doon Press LLC,2017-11-16,Hardcover,216.0,4.5
93,harbinger of doom (volumes 1 - 3): three book bundle,Glenn G Thater,CreateSpace Independent Publishing Platform,2017-5-19,Kindle,650.0,4.0
94,"vietnam and other american fantasies (culture, politics, and the cold war)",H. Bruce Franklin,University of Massachusetts Press,2001-10-25,Hardcover,272.0,3.6
95,fairyland - a coloring book for adults: fantasy coloring for grownups by molly harrison,Molly Harrison,CreateSpace Independent Publishing Platform,2017-1-18,Hardcover,54.0,4.8
96,private thoughts: exploring the power of women's sexual fantasies,Wendy Maltz,BookSurge Publishing,2008-5-2,Kindle,304.0,4.3
97,adult coloring book: dragon life: dragons and dragon masters in fantasy realms  35+ original illustrations,Nathaniel Wake,CreateSpace Independent Publishing Platform,2017-8-24,Kindle,96.0,4.9
98,fantasy football for smart people: what the experts don't want you to know,Jonathan Bales,CreateSpace Independent Publishing Platform,2013-5-14,Kindle,226.0,3.9
99,today is too late (the shedim rebellion) (volume 1),Burke Fitzpatrick,Blade Books LLC,2013-10-10,Kindle,356.0,4.8
102,final fantasy origins: official strategy guide,Casey Loe,BradyGames,2003-4-19,Hardcover,256.0,4.6
103,dragon's blood: a reverse harem fantasy romance (the dragon's gift trilogy) (volume 2),May Sage,Dynamo Press,2017-11-11,Paperback,286.0,4.6
104,"fantasy football basics: the ultimate ""how-to"" guide for beginners",Sam Hendricks,Extra Point Press,2010-5-26,Kindle,160.0,4.6
105,borrowed magic: an urban fantasy novel (witch's bite series) (volume 1),Stephanie Foxe,CreateSpace Independent Publishing Platform,2017-10-1,Hardcover,132.0,4.0
106,final fantasy chronicles official strategy guide: chrono trigger and final fantasy 4,Dan Birlew,Brady Games,2001-7-2,Hardcover,160.0,4.5
107,who's been sleeping in your head: the secret world of sexual fantasies,Brett Kahr,Basic Books,2009-1-27,Paperback,512.0,3.8
108,adventure anthology 1,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-7-27,Kindle,86.0,4.9
109,"mermaids, fairies & fantasy: grayscale coloring book for grownups, adults (wingfeather coloring books) (volume 4)",Wingfeather Coloring Books,CreateSpace Independent Publishing Platform,2015-11-4,Paperback,86.0,3.1
110,fantasy world. grayscale coloring book: adult coloring book,Alena Lazareva,CreateSpace Independent Publishing Platform,2017-4-8,Paperback,68.0,4.6
111,the sword of the wormling,Chris Fabry,"Tyndale House Publishers, Inc.",2007-10-1,Paperback,336.0,4.9
112,faedorables - sweet and simple coloring book (fantasy coloring by selina) (volume 14),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-11-18,Hardcover,108.0,4.7
115,uprooted: a novel,Naomi Novik,Del Rey,2016-3-1,Kindle,464.0,4.6
116,"slave, warrior, queen (of crowns and glory--book 1)",Morgan Rice,Morgan Rice,2017-8-2,Paperback,191.0,3.6
117,official nintendo power final fantasy v advance player's guide,Nintendo Power,Nintendo of America Inc.,2006-10-30,Hardcover,128.0,4.2
118,"a world of fairies - a fantasy grayscale coloring book for adults: flower fairies, and celestial fairies by molly harrison fantasy art",Molly Harrison,CreateSpace Independent Publishing Platform,2017-1-18,Hardcover,56.0,4.5
119,the seven (the vagrant trilogy),Peter Newman,HarperVoyager,2017-10-3,Kindle,464.0,4.6
120,"gaming as culture: essays on reality, identity and experience in fantasy games",J. Patrick Williams,McFarland,2006-3-21,Kindle,224.0,3.6
121,"mastering fantasy art - drawing dynamic characters: people, poses, creatures and more",John Stanko,IMPACT Books,2014-6-13,Paperback,144.0,3.9
122,"truth, fantasy, and paradox: the fairy tales of george macdonald, g.k. chesterton, and c.s. lewis",Jennifer Overkamp,CreateSpace Independent Publishing Platform,2014-12-4,Hardcover,346.0,4.4
123,strongholds of sorcery: the glain campaign,Chris Gonnerman,CreateSpace Independent Publishing Platform,2017-10-6,Hardcover,124.0,4.2
124,dungeon fantasy companion,Christopher R. Rice,"Steve Jackson Games, Incorporated",2017-7-25,Hardcover,78.0,4.5
125,fantasy writing prompts: 77 powerful ideas to inspire your fiction (writer's craft) (volume 24),Rayne Hall,CreateSpace Independent Publishing Platform,2017-3-17,Paperback,190.0,5.0
126,a witchmas carol: a wicked witches of the midwest fantasy (volume 4),Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-9-6,Kindle,212.0,4.6
127,mage slave (the enslaved chronicles) (volume 1),R. K. Thorne,Iron Antler Books,2016-7-29,Hardcover,462.0,4.5
128,the alchemist,Paulo Coelho,HarperOne,2014-4-15,Paperback,208.0,4.6
129,fantasy pieces: metrical dissonance in the music of robert schumann,Harald Krebs,Oxford University Press,2003-5-22,Paperback,304.0,
130,coloring book fantasy mermaids & fairies: amazing coloring book for all ages.,Alena Lazareva,CreateSpace Independent Publishing Platform,2016-5-7,Paperback,56.0,4.6
131,fantasy basketball and mathematics: student workbook,Dan Flockhart,Jossey-Bass,2007-3-19,Kindle,216.0,5.0
132,crisis core -final fantasy vii- signature series guide (bradygames signature series guides),Joe Epstein,BRADY GAMES,2008-3-18,Paperback,272.0,4.5
133,the cambridge companion to fantasy literature (cambridge companions to literature),Edward James,Cambridge University Press,2012-2-27,Kindle,294.0,4.0
134,faedorables minis - pocket sized cute fantasy coloring book (fantasy coloring by selina) (volume 16),Selina Fenech,Fairies and Fantasy Pty Ltd,2017-11-9,Paperback,106.0,5.0
135,"the complete guide to writing fantasy, vol. 1: alchemy with words (the compete guide series)",Tom Dullemond,Dragon Moon Press,2006-1-1,Kindle,320.0,3.8
137,the dark huntsman: a fantasy romance of the black court (tales of the black court) (volume 1),Jessica Aspen,Abracadabra Publishing,2013-10-3,Hardcover,350.0,4.2
139,official nintendo final fantasy i & ii: dawn of souls player's guide,Nintendo Power,Nintendo of America Inc.,2004-11-7,Paperback,152.0,4.5
140,"carving fantasy & legend figures in wood, revised edition: patterns & instructions for dragons, wizards & other creatures of myth",Shawn Cipa,Fox Chapel Publishing,2013-9-1,Paperback,120.0,4.5
141,kingdom of storms: a reverse harem fantasy (the legend of tariel) (volume 1),Jasmine Walt,Dynamo Press,2018-2-2,Hardcover,268.0,4.7
142,fantasy baseball for smart people: the art (and science) of being contrarian in dfs,Jonathan Bales,CreateSpace Independent Publishing Platform,2016-3-6,Paperback,162.0,4.9
143,"fantasy magazine, issue 60 (dec. 2016, people of colo(u)r destroy fantasy! special issue) (volume 60)",Daniel Jos\u00e9 Older,CreateSpace Independent Publishing Platform,2016-12-1,Paperback,150.0,5.0
145,rhetorics of fantasy,Farah Mendlesohn,Wesleyan,2008-4-30,Hardcover,336.0,3.9
146,fighting fantasy: the port of peril,Ian Livingstone,Scholastic,2017-8-3,Paperback,232.0,4.5
147,"misfits a gothic fantasy coloring book for adults and creepy children: vampires, gloom, doom, skeletons, ghosts and other spooky things. (misfits a ... book for adults and odd children) (volume 9)",White Stag,CreateSpace Independent Publishing Platform,2017-10-1,Kindle,54.0,4.5
148,the fantasy of feminist history (next wave provocations),Joan Wallach Scott,Duke University Press Books,2011-11-11,Hardcover,200.0,4.0
149,"dragons, witches, and other fantasy creatures in origami (dover origami papercraft)",Mario Adrados Netto,Dover Publications,2005-10-12,Paperback,176.0,3.6
150,bad guys don't have birthdays: fantasy play at four,Vivian Gussin Paley,University of Chicago Press,1991-5-21,Hardcover,128.0,4.4
151,"fantasy baseball and mathematics: a resource guide for teachers and parents, grades 5 and up",Dan Flockhart,Jossey-Bass,2007-3-23,Kindle,224.0,5.0
152,fantasy & fairytales: by sassy colouring,Saskja Cook,CreateSpace Independent Publishing Platform,2018-1-24,Kindle,88.0,5.0
153,fighting fantasy: city of thieves,Ian Livingstone,Scholastic,2017-8-3,Hardcover,232.0,4.5
154,"the pillar of light: the milana legends, part one, a christian fantasy adventure (volume 1)",Anna Travis,CreateSpace Independent Publishing Platform,2016-4-9,Hardcover,188.0,4.4
155,sacrificed (the last oracle) (volume 1),Emily Wibberley,CreateSpace Independent Publishing Platform,2015-1-5,Kindle,348.0,4.2
156,draw alien fantasies: a step-by-step guide,Damon J. Reinagle,"Peel Productions, Incorporated",2015-2-5,Hardcover,64.0,4.9
157,creative haven winged fantasy designs coloring book (adult coloring),Aaron Pocock,Dover Publications,2016-12-14,Paperback,64.0,4.4
158,famous fantasy character monologs: starring the not-so-wicked witch and more,Rebecca Young,Meriwether Pub,2006-9-30,Paperback,135.0,3.8
159,"fantasy basketball and mathematics: a resource guide for teachers and parents, grades 5 and up",Dan Flockhart,Jossey-Bass,2007-3-23,Hardcover,224.0,4.2
160,final fantasy xi official strategy guide for ps2 & pc (spring 2004 version),Michael Lummis,Brady Games,2004-4-5,Paperback,384.0,3.8
161,natural witch (magical mayhem) (volume 1),K.F. Breene,CreateSpace Independent Publishing Platform,2018-1-25,Hardcover,422.0,4.7
162,fantasy 5 formula: win cash 5 lottery,Eze Ugbor,CreateSpace Independent Publishing Platform,2011-9-20,Hardcover,56.0,3.1
163,spirited: a reverse harem fantasy romance (the academy of spirits and shadows),C.M. Stunich,Independently published,2018-1-20,Hardcover,408.0,4.8
164,magic of thieves,C. Greenwood,CreateSpace Independent Publishing Platform,2012-12-13,Kindle,182.0,3.9
165,once upon a witch: a wicked witches of the midwest fantasy books 1-3,Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-6-5,Kindle,520.0,4.3
166,the fifth season (the broken earth),N. K. Jemisin,Orbit,2015-8-4,Paperback,512.0,4.4
167,writers of the future vol 33 (l. ron hubbard presents writers of the future),Rachel Quinlan,Galaxy Press,2017-4-4,Kindle,400.0,4.8
168,the fantasy baseball black book 2017 edition (fantasy black book),Joe Pisapia,Independently published,2017-1-17,Paperback,182.0,4.1
169,shadow descendant (descendants) (volume 1),L.D. Goffigan,CreateSpace Independent Publishing Platform,2017-9-25,Hardcover,298.0,4.3
170,"cupcakes, trinkets, and other deadly magic (the dowser series) (volume 1)",Meghan Ciana Doidge,Old Man in the CrossWalk Productions,2013-6-19,Hardcover,264.0,4.4
171,john howe fantasy drawing workshop,John Howe,IMPACT,2009-10-29,Paperback,128.0,4.4
172,the jack of souls (the unseen moon series) (volume 1),Stephen C Merlino,TORTOISE RAMPANT PRESS,2014-12-6,Hardcover,350.0,4.4
173,the lure of fantasy islam: exposing the myths and myth makers,Dr. Stephen M. Kirby,CreateSpace Independent Publishing Platform,2017-5-18,Hardcover,284.0,5.0
174,sweet blood of mine: book one of the overworld chronicles (volume 1),John Corwin,Raven Press,2012-3-15,Hardcover,442.0,4.4
175,final fantasy xv game guide unofficial,The Yuw,Booksmango,2017-2-10,Paperback,46.0,3.0
176,"companion to narnia, revised edition: a complete guide to the magical world of c.s. lewis's the chronicles of narnia",Paul F. Ford,HarperCollins Narnia,2005-7-5,Kindle,560.0,4.4
177,"fairies - a coloring book for grownups and all ages: featuring 25 pages of mystical fairies, flower fairies and fairies and their friends! suitable for kids and adults.",Molly Harrison,CreateSpace Independent Publishing Platform,2017-4-23,Kindle,52.0,4.3
178,fantasy swap online: a gender swapped litrpg adventure,Alyson Belle,Independently published,2017-11-10,Paperback,168.0,4.2
179,awaken (awakened fate) (volume 1),Skye Malone,Wildflower Isle,2014-5-29,Kindle,248.0,4.3
180,fantasy football u: expert tips on how to dominate your draft,Rotoworld,CreateSpace Independent Publishing Platform,2017-8-12,Kindle,224.0,5.0
181,goddess and mythology coloring book (fantasy coloring by selina) (volume 9),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-7-13,Paperback,108.0,4.6
182,"animal mandalas: an adult coloring book with mandala designs, mythical creatures, and fantasy animals for inspiration and relaxation",Jade Summer,CreateSpace Independent Publishing Platform,2016-11-19,Hardcover,106.0,4.4
183,fantasy snowflakes coloring book,J. S. Burke,Lind Press,2017-11-23,Paperback,66.0,5.0
184,"flowers of fantasy: a coloring book of fantastical flower designs, flowers in vases, flowers and poetry and more!",C L Aldridge,CreateSpace Independent Publishing Platform,2017-6-3,Kindle,102.0,5.0
185,fantasy film: a critical introduction (film genres),James Walters,Bloomsbury Academic,2011-6-15,Paperback,192.0,
186,diamond dividends: creative strategies to profit through fantasy baseball,Mario Mergola,Mario Mergola,2017-3-13,Hardcover,114.0,5.0
187,fairy portraits coloring book: a fantasy coloring adventure for adults (fantasy coloring by samantha) (volume 2),Samantha J Lewis,CreateSpace Independent Publishing Platform,2017-11-16,Hardcover,88.0,5.0
188,the dark fantasy coloring book for adults,Stephanie Cournoyer,CreateSpace Independent Publishing Platform,2016-1-2,Paperback,58.0,3.5
189,fantasia of the unconscious and psychoanalysis and the unconscious (penguin twentieth century classics),D. H. Lawrence,Penguin Classics,1991-1-3,Paperback,256.0,5.0
190,a cast of stones (the staff and the sword),Patrick W. Carr,Bethany House Publishers,2013-2-1,Hardcover,432.0,4.6
191,adult coloring book: nice little dragons (volume 1),Tatiana Bogema (Stolova),CreateSpace Independent Publishing Platform,2017-12-14,Kindle,108.0,4.9
192,dragon rose (tales of the latter kingdoms),Christine Pope,Dark Valentine Press,2012-11-14,Paperback,276.0,4.4
193,a short history of fantasy,Edward James,Libri Publishing,2012-10-1,Paperback,296.0,5.0
194,anatomy for fantasy artists: an essential guide to creating action figures and fantastical forms,Glenn Fabry,Barron's Educational Series,2013-3-1,Hardcover,160.0,3.9
195,"fantasy fashion art studio: creating romantic characters, clothing and costumes",Meredith Dillman,IMPACT Books,2013-8-20,Kindle,128.0,4.8
196,fantasy castle cross stitch patterns: collection number 1,Tracy Warrington,CreateSpace Independent Publishing Platform,2014-11-4,Hardcover,166.0,4.0
197,a sellsword's compassion: book one of the seven virtues,Jacob Peppers,Independently published,2017-10-17,Paperback,413.0,4.4
198,dragons coloring book: a fantasy coloring adventure for adults (fantasy coloring by samantha) (volume 1),Samantha J Lewis,CreateSpace Independent Publishing Platform,2017-7-9,Hardcover,108.0,3.8
199,christmas fantasy duets: 4 arrangements for early intermediate to late intermediate pianists,Robert D. Vandall,Alfred Music,2010-8-1,Kindle,40.0,4.3
200,claw and crown: a gay viking fantasy shifter mpreg romance,Richard Lunch,Independently published,2016-10-16,Kindle,289.0,4.0
201,wolf sight (a new dawn novel),Rachel M. Raithby,Independently published,2017-9-17,Paperback,348.0,5.0
202,daughter of magic,Teresa Roman,Teresa Roman,2016-3-12,Kindle,262.0,4.4
203,the king: the jester king fantasy series: book four (volume 4),K C Herbel,Epic Books Press,2017-11-24,Hardcover,354.0,4.8
205,writing fantasy heroes: powerful advice from the pros (rogue blades presents),J M Martin,Rogue Blades Entertainment,2013-2-23,Kindle,216.0,4.4
206,calling (the starlight chronicles) (volume 2),C. S. Johnson,CreateSpace Independent Publishing Platform,2015-5-28,Kindle,336.0,4.3
207,"the land of fantasia: magical adult coloring book with mythical creatures, fairies, fantasy nature and other illustrations for creative stress relief (fantasy coloring book)",Favoreads,CreateSpace Independent Publishing Platform,2017-6-21,Hardcover,48.0,
208,cirsova #7: heroic fantasy and science fiction magazine (volume 7),Michael Tierney,CreateSpace Independent Publishing Platform,2018-2-27,Paperback,106.0,
210,william wilde and the necrosed (the chronicles of william wilde),Davis Ashura,DuSum Publishing,2018-2-27,Paperback,356.0,5.0
211,"fantasy and fairies- a grayscale coloring book: fairies, mermaids, dragons and more!",Molly Harrison,CreateSpace Independent Publishing Platform,2018-1-15,Paperback,52.0,5.0
212,she,H. Rider Haggard,CreateSpace Independent Publishing Platform,2017-7-23,Hardcover,220.0,3.9
213,the mage and the magpie (magemother) (volume 1),Austin J. Bailey,CreateSpace Independent Publishing Platform,2015-6-11,Kindle,366.0,4.5
214,fantasy football for smart people: how to dominate your draft,Jonathan Bales,CreateSpace Independent Publishing Platform,2012-5-26,Kindle,132.0,4.0
215,final fantasy tactics: the war of the lions official strategy guide (bradygames official strategy guides),Adam Deats,BradyGames,2007-10-11,Kindle,208.0,4.4
216,world of final fantasy,Long Tran,Prima Games,2016-10-25,Kindle,304.0,4.3
217,the scratchling trinity: a magical adventure for children ages 9-15,Boyd Brent,Independently published,2017-1-14,Paperback,250.0,4.3
218,the tiger's daughter (their bright ascendency),K Arsenault Rivera,Tor Books,2017-10-3,Paperback,528.0,4.3
219,fantastic creatures: a fellowship of fantasy anthology (volume 1),Craig A. Price Jr.,CreateSpace Independent Publishing Platform,2016-11-15,Hardcover,314.0,4.4
220,"the best of heroic fantasy quarterly: volume 1, 2009-2011",J. S. Bangs,CreateSpace Independent Publishing Platform,2015-11-22,Hardcover,212.0,5.0
221,"dreamscapes: creating magical angel, faery & mermaid worlds in watercolor",Stephanie Pui-Mun Law,Impact,2008-2-15,Hardcover,176.0,4.8
222,the axe and the throne (bounds of redemption) (volume 1),M. D. Ireman,CreateSpace Independent Publishing Platform,2016-1-15,Kindle,493.0,4.0
223,unenchanted: an unfortunate fairy tale (unfortunate fairy tale;bk. 1),Chanda Hahn,CreateSpace Independent Publishing Platform,2012-4-18,Kindle,234.0,4.4
224,the prince: the jester king fantasy series: book three (volume 3),K C Herbel,Epic Books Press,2017-9-28,Paperback,300.0,4.9
225,"final fantasy xv game pc, ps4, dlc, walkthrough tips, cheats unofficial: beat the game & get the best weapons!",The Yuw,CreateSpace Independent Publishing Platform,2017-4-8,Paperback,52.0,3.2
